-55.772,-60.493
-55.385,-61.847
-55.192,-63.007
-55.192,-64.36
-54.612,-65.52
-54.032,-66.68
-53.452,-68.034
-52.292,-69.387
-51.518,-70.547
-50.358,-71.9
-49.392,-73.06
-48.618,-74.027
-47.652,-75.187
-46.491,-76.347
-45.331,-77.12
-43.978,-78.281
-43.011,-78.861
-41.851,-79.634
-40.885,-80.601
-39.531,-81.374
-38.371,-82.147
-37.211,-83.114
-36.051,-83.694
-34.891,-84.274
-34.311,-85.434
-32.958,-85.821
-32.184,-86.207
-31.604,-87.367
-30.638,-88.141
-29.478,-88.334
-28.124,-88.334
-26.964,-89.107
-26.384,-89.881
-25.224,-90.654
-24.064,-91.428
-23.291,-92.008
-22.131,-93.361
-20.971,-94.521
-20.584,-95.294
-19.617,-96.454
-18.844,-97.808
-18.264,-98.968
-17.684,-100.32
-17.104,-101.67
-16.911,-102.83
-16.717,-104.19
-16.331,-105.35
-16.137,-106.51
-16.137,-107.86
-16.137,-109.21
-16.524,-110.57
-16.524,-111.73
-16.911,-112.89
-17.104,-114.24
-17.104,-115.4
-17.104,-116.75
-17.104,-118.11
-17.104,-119.27
-17.104,-120.62
-17.297,-121.97
-17.297,-123.13
-17.491,-124.49
-17.684,-125.84
-17.684,-127
-17.877,-128.36
-17.877,-129.71
-17.877,-130.87
-17.684,-132.22
-17.297,-133.58
-17.104,-134.74
-16.524,-136.09
-16.137,-137.44
-15.751,-138.6
-15.171,-139.96
-14.784,-141.31
-14.011,-142.47
-13.237,-143.82
-12.271,-145.18
-11.304,-146.34
-9.9505,-147.69
-8.5971,-148.85
-7.437,-149.62
-6.0837,-150.4
-4.7303,-151.17
-3.5703,-151.75
-2.2169,-152.33
-0.86352,-152.72
0.29651,-152.91
1.6499,-153.49
2.6166,-153.88
3.7766,-153.88
5.13,-153.88
6.29,-153.3
7.45,-153.3
8.8034,-153.3
10.157,-153.3
11.317,-153.3
12.67,-153.1
14.024,-152.91
14.99,-152.52
14.99,-151.17
14.99,-149.82
14.797,-148.66
13.444,-148.66
12.09,-148.46
10.93,-148.46
9.5768,-148.27
8.2234,-148.08
7.0634,-147.69
5.71,-147.5
4.3566,-147.11
3.1966,-146.72
2.2299,-145.76
0.87653,-145.18
-0.28351,-144.98
-1.6369,-144.02
-2.4102,-142.86
-3.5703,-141.7
-4.537,-140.34
-5.5037,-139.38
-6.4704,-138.22
-7.2437,-137.06
-7.6304,-135.7
-8.2104,-134.74
-8.4037,-133.38
-8.5971,-132.03
-9.1771,-130.87
-9.3704,-129.52
-9.3704,-128.16
-9.3704,-127
-9.1771,-125.65
-9.1771,-124.29
-8.9838,-123.13
-8.7904,-121.78
-8.5971,-120.43
-8.4037,-119.27
-8.2104,-117.91
-8.0171,-116.56
-7.6304,-115.59
-7.6304,-114.24
-7.6304,-112.89
-7.6304,-111.73
-7.6304,-110.37
-7.6304,-109.02
-7.6304,-107.86
-7.6304,-106.51
-7.6304,-105.15
-7.6304,-103.99
-7.8237,-102.64
-7.8237,-101.29
-8.0171,-99.934
-8.2104,-98.774
-8.5971,-97.421
-8.9838,-96.068
-9.3704,-94.908
-9.9505,-93.554
-10.53,-92.201
-11.11,-91.041
-11.884,-89.687
-12.657,-88.334
-13.624,-87.174
-14.591,-86.014
-15.751,-84.661
-16.717,-83.694
-18.071,-82.534
-19.424,-81.374
-20.584,-80.601
-21.937,-79.634
-23.291,-78.667
-24.451,-77.894
-25.804,-77.12
-27.158,-76.154
-28.318,-75.38
-29.671,-74.8
-31.024,-73.834
-32.184,-73.06
-33.538,-72.094
-34.891,-70.934
-36.051,-69.967
-37.405,-68.807
-38.178,-67.454
-39.145,-66.874
-40.305,-65.52
-41.078,-64.167
-41.851,-63.393
-42.818,-62.04
-43.205,-60.687
-43.978,-59.527
-45.138,-58.173
-46.491,-56.82
-47.652,-55.66
-49.005,-54.693
-50.358,-54.5
-51.518,-54.5
-52.872,-54.5
-54.225,-54.693
-55.385,-55.467
-55.772,-56.82
-55.772,-58.173
-55.772,-59.333
